# This file was produced by bcftools stats (1.19+htslib-1.19) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /home/yer_kanat/ngs-pipeline/out/gvcf/SRR622461_1_trimmed.fastq.gvcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/home/yer_kanat/ngs-pipeline/out/gvcf/SRR622461_1_trimmed.fastq.gvcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	194036
SN	0	number of no-ALTs:	189378
SN	0	number of SNPs:	4259
SN	0	number of MNPs:	0
SN	0	number of indels:	437
SN	0	number of others:	0
SN	0	number of multiallelic sites:	4658
SN	0	number of multiallelic SNP sites:	4191
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	2414	1951	1.24	2361	1855	1.27
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	4365	2414	1951	487	0	0	487
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4365	2414	1951	487	0	0	487
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0.0	591	316	275	70
QUAL	0	0.1	1	1	0	0
QUAL	0	0.2	4	3	1	0
QUAL	0	0.5	4	3	1	0
QUAL	0	0.8	3	3	0	0
QUAL	0	1.4	4	3	1	0
QUAL	0	2.1	8	5	3	1
QUAL	0	2.9	1	1	0	0
QUAL	0	3.1	0	0	0	1
QUAL	0	3.2	2	2	0	0
QUAL	0	4.1	1	1	0	0
QUAL	0	5.0	5	4	1	0
QUAL	0	6.0	5	4	1	0
QUAL	0	6.9	0	0	0	1
QUAL	0	7.0	2	2	0	0
QUAL	0	8.0	2	2	0	0
QUAL	0	8.9	0	0	0	1
QUAL	0	9.0	0	0	0	1
QUAL	0	10.0	2	0	2	0
QUAL	0	11.0	3	2	1	0
QUAL	0	12.0	1	1	0	0
QUAL	0	13.0	3	1	2	0
QUAL	0	14.0	6	5	1	0
QUAL	0	15.0	4	2	2	0
QUAL	0	16.0	7	6	1	0
QUAL	0	17.0	9	1	8	0
QUAL	0	18.0	18	10	8	1
QUAL	0	19.0	8	6	2	1
QUAL	0	20.0	13	8	5	0
QUAL	0	21.0	14	9	5	0
QUAL	0	22.0	16	8	8	1
QUAL	0	23.0	28	14	14	2
QUAL	0	24.0	17	11	6	2
QUAL	0	25.0	19	8	11	2
QUAL	0	26.0	6	2	4	0
QUAL	0	27.0	6	1	5	0
QUAL	0	28.0	5	5	0	0
QUAL	0	29.0	3	2	1	0
QUAL	0	30.0	4	3	1	1
QUAL	0	31.0	5	3	2	2
QUAL	0	32.0	6	2	4	0
QUAL	0	33.0	4	1	3	0
QUAL	0	34.0	2	1	1	0
QUAL	0	34.7	1	1	0	0
QUAL	0	35.0	307	177	130	38
QUAL	0	36.0	6	4	2	1
QUAL	0	37.0	6	5	1	1
QUAL	0	38.0	5	5	0	1
QUAL	0	39.0	4	4	0	0
QUAL	0	40.0	2	2	0	0
QUAL	0	41.0	3	2	1	0
QUAL	0	42.0	6	4	2	0
QUAL	0	43.0	12	7	5	0
QUAL	0	44.0	9	3	6	0
QUAL	0	45.0	15	10	5	0
QUAL	0	46.0	12	6	6	1
QUAL	0	47.0	19	14	5	0
QUAL	0	48.0	11	7	4	0
QUAL	0	48.8	0	0	0	1
QUAL	0	49.0	22	14	8	0
QUAL	0	50.0	20	10	10	0
QUAL	0	51.0	20	13	7	0
QUAL	0	52.0	29	14	15	1
QUAL	0	53.0	18	12	6	2
QUAL	0	54.0	39	25	14	0
QUAL	0	54.7	1	0	1	0
QUAL	0	55.0	24	17	7	2
QUAL	0	56.0	34	19	15	1
QUAL	0	57.0	18	12	6	0
QUAL	0	58.0	18	9	9	0
QUAL	0	59.0	10	9	1	0
QUAL	0	60.0	10	7	3	0
QUAL	0	61.0	8	6	2	1
QUAL	0	62.0	7	4	3	0
QUAL	0	63.0	5	4	1	2
QUAL	0	64.0	4	4	0	2
QUAL	0	65.0	3	3	0	3
QUAL	0	66.0	7	4	3	0
QUAL	0	67.0	5	3	2	0
QUAL	0	68.0	10	5	5	0
QUAL	0	69.0	5	3	2	1
QUAL	0	70.0	4	2	2	0
QUAL	0	71.0	3	3	0	1
QUAL	0	72.0	3	1	2	1
QUAL	0	73.0	5	4	1	1
QUAL	0	74.0	7	2	5	0
QUAL	0	75.0	4	3	1	3
QUAL	0	76.0	5	4	1	1
QUAL	0	77.0	7	7	0	0
QUAL	0	78.0	4	0	4	0
QUAL	0	79.0	13	6	7	0
QUAL	0	79.6	0	0	0	1
QUAL	0	80.0	409	221	188	45
QUAL	0	81.0	7	5	2	1
QUAL	0	82.0	9	4	5	0
QUAL	0	83.0	11	6	5	2
QUAL	0	84.0	15	9	6	0
QUAL	0	85.0	17	7	10	1
QUAL	0	86.0	12	5	7	1
QUAL	0	87.0	14	8	6	0
QUAL	0	88.0	16	9	7	0
QUAL	0	89.0	15	10	5	0
QUAL	0	90.0	9	6	3	0
QUAL	0	91.0	8	5	3	0
QUAL	0	92.0	8	4	4	1
QUAL	0	93.0	6	4	2	0
QUAL	0	94.0	8	3	5	0
QUAL	0	95.0	3	1	2	0
QUAL	0	96.0	6	5	1	0
QUAL	0	97.0	4	2	2	0
QUAL	0	98.0	2	1	1	0
QUAL	0	99.0	5	4	1	1
QUAL	0	100.0	2	0	2	0
QUAL	0	101.0	2	1	1	0
QUAL	0	102.0	2	0	2	0
QUAL	0	103.0	2	2	0	1
QUAL	0	103.8	1	1	0	0
QUAL	0	104.0	3	2	1	2
QUAL	0	105.0	8	2	6	2
