## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/yer_kanat/ngs-pipeline/out/bwa/SRR622461_1_trimmed.fastq.bam --OUTPUT /home/yer_kanat/ngs-pipeline/out/marks_dup_bam/SRR622461_1_trimmed.fastq.bam --METRICS_FILE /home/yer_kanat/ngs-pipeline/out/marks_dup/SRR622461_1_trimmed.fastq.txt --TMP_DIR /home/yer_kanat/ngs-pipeline/tmp --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 30 06:04:38 GMT+05:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	16722	71811403	233924	310706	3057	4355542	0	0.060667	567803074

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	63363156	63363156
2.0	1.881198	3896388	3896388
3.0	2.657709	169174	169174
4.0	3.341969	14142	14142
5.0	3.944938	4805	4805
6.0	4.476274	2659	2659
7.0	4.944486	1783	1783
8.0	5.357073	1143	1143
9.0	5.720645	808	808
10.0	6.041024	598	598
11.0	6.323341	378	378
12.0	6.572119	253	253
13.0	6.791341	174	174
14.0	6.984519	124	124
15.0	7.154748	86	86
16.0	7.304753	48	48
17.0	7.436937	42	42
18.0	7.553418	31	31
19.0	7.656061	18	18
20.0	7.746509	13	13
21.0	7.826212	15	15
22.0	7.896446	7	7
23.0	7.958337	4	4
24.0	8.012874	4	4
25.0	8.060933	1	1
26.0	8.103282	1	1
27.0	8.1406	1	1
28.0	8.173484	0	0
29.0	8.202462	1	1
30.0	8.227997	0	0
31.0	8.250499	0	0
32.0	8.270327	0	0
33.0	8.2878	0	0
34.0	8.303197	0	0
35.0	8.316764	0	0
36.0	8.32872	0	0
37.0	8.339256	0	0
38.0	8.34854	0	0
39.0	8.35672	0	0
40.0	8.363929	0	0
41.0	8.370282	0	0
42.0	8.37588	0	0
43.0	8.380813	0	0
44.0	8.38516	0	0
45.0	8.38899	0	0
46.0	8.392365	0	0
47.0	8.39534	0	0
48.0	8.397961	0	0
49.0	8.40027	0	0
50.0	8.402306	0	0
51.0	8.404099	0	0
52.0	8.405679	0	0
53.0	8.407072	0	0
54.0	8.408299	0	0
55.0	8.409381	0	0
56.0	8.410333	0	0
57.0	8.411173	0	0
58.0	8.411913	0	0
59.0	8.412565	0	0
60.0	8.41314	0	0
61.0	8.413646	0	0
62.0	8.414092	0	0
63.0	8.414485	0	0
64.0	8.414832	0	0
65.0	8.415137	0	0
66.0	8.415406	0	0
67.0	8.415643	0	0
68.0	8.415852	0	0
69.0	8.416036	0	0
70.0	8.416198	0	0
71.0	8.416341	0	0
72.0	8.416467	0	0
73.0	8.416578	0	0
74.0	8.416676	0	0
75.0	8.416762	0	0
76.0	8.416838	0	0
77.0	8.416905	0	0
78.0	8.416964	0	0
79.0	8.417016	0	0
80.0	8.417062	0	0
81.0	8.417102	0	0
82.0	8.417138	0	0
83.0	8.417169	0	0
84.0	8.417197	0	0
85.0	8.417221	1	1
86.0	8.417243	0	0
87.0	8.417261	0	0
88.0	8.417278	0	0
89.0	8.417293	0	0
90.0	8.417306	1	1
91.0	8.417317	0	0
92.0	8.417327	0	0
93.0	8.417336	0	0
94.0	8.417344	0	0
95.0	8.417351	0	0
96.0	8.417357	1	1
97.0	8.417362	0	0
98.0	8.417367	0	0
99.0	8.417371	0	0
100.0	8.417375	0	0
366.0	0	1	1

