Name	X	Y
SRR062634_1	10	9.0
SRR062634_1	11	8.0
SRR062634_1	12	11.0
SRR062634_1	13	12.0
SRR062634_1	14	14.0
SRR062634_1	15	15.0
SRR062634_1	16	15.0
SRR062634_1	17	15.0
SRR062634_1	18	17.0
SRR062634_1	19	15.0
SRR062634_1	20	17.0
SRR062634_1	21	19.0
SRR062634_1	22	19.0
SRR062634_1	23	20.0
SRR062634_1	24	20.0
SRR062634_1	25	21.0
SRR062634_1	26	22.0
SRR062634_1	27	21.0
SRR062634_1	28	23.0
SRR062634_1	29	24.0
SRR062634_1	30	25.0
SRR062634_1	31	26.0
SRR062634_1	32	26.0
SRR062634_1	33	27.0
SRR062634_1	34	27.0
SRR062634_1	35	27.0
SRR062634_1	36	27.0
SRR062634_1	37	27.0
SRR062634_1	38	26.0
SRR062634_1	6	6.0
SRR062634_1	7	6.0
SRR062634_1	8	6.0
SRR062634_1	9	7.0
SRR062654_1	10	10.0
SRR062654_1	11	11.0
SRR062654_1	12	11.0
SRR062654_1	13	13.0
SRR062654_1	14	16.0
SRR062654_1	15	17.0
SRR062654_1	16	18.0
SRR062654_1	17	18.0
SRR062654_1	18	19.0
SRR062654_1	19	20.0
SRR062654_1	20	18.0
SRR062654_1	21	21.0
SRR062654_1	22	23.0
SRR062654_1	23	24.0
SRR062654_1	24	24.0
SRR062654_1	25	23.0
SRR062654_1	26	25.0
SRR062654_1	27	26.0
SRR062654_1	28	25.0
SRR062654_1	29	27.0
SRR062654_1	30	26.0
SRR062654_1	31	27.0
SRR062654_1	32	27.0
SRR062654_1	33	27.0
SRR062654_1	34	27.0
SRR062654_1	35	27.0
SRR062654_1	36	28.0
SRR062654_1	37	27.0
SRR062654_1	38	27.0
SRR062654_1	6	7.0
SRR062654_1	7	7.0
SRR062654_1	8	8.0
SRR062654_1	9	8.0
SRR622461_1	10	8.0
SRR622461_1	11	9.0
SRR622461_1	12	10.0
SRR622461_1	13	11.0
SRR622461_1	14	11.0
SRR622461_1	15	14.0
SRR622461_1	16	16.0
SRR622461_1	17	15.0
SRR622461_1	18	17.0
SRR622461_1	19	24.0
SRR622461_1	20	23.0
SRR622461_1	21	19.0
SRR622461_1	22	18.0
SRR622461_1	23	18.0
SRR622461_1	24	21.0
SRR622461_1	25	21.0
SRR622461_1	26	21.0
SRR622461_1	27	24.0
SRR622461_1	28	24.0
SRR622461_1	29	25.0
SRR622461_1	30	25.0
SRR622461_1	31	25.0
SRR622461_1	32	26.0
SRR622461_1	33	26.0
SRR622461_1	34	27.0
SRR622461_1	35	27.0
SRR622461_1	36	27.0
SRR622461_1	37	28.0
SRR622461_1	38	28.0
SRR622461_1	39	28.0
SRR622461_1	40	28.0
SRR622461_1	6	6.0
SRR622461_1	7	6.0
SRR622461_1	8	7.0
SRR622461_1	9	8.0
