#Coverage	Number of genomic locations
0.0	5.5416433E7
1.0	1441897.0
2.0	234735.0
3.0	33346.0
4.0	14234.0
5.0	11572.0
6.0	8649.0
7.0	7392.0
8.0	6294.0
9.0	6081.0
10.0	5030.0
11.0	4943.0
12.0	4788.0
13.0	4219.0
14.0	3679.0
15.0	3106.0
16.0	3118.0
17.0	2356.0
18.0	1972.0
19.0	1644.0
20.0	1425.0
21.0	1013.0
22.0	898.0
23.0	822.0
24.0	669.0
25.0	538.0
26.0	526.0
27.0	441.0
28.0	462.0
29.0	396.0
30.0	520.0
31.0	561.0
32.0	659.0
33.0	626.0
34.0	685.0
35.0	751.0
36.0	773.0
37.0	804.0
38.0	812.0
39.0	832.0
40.0	830.0
41.0	849.0
42.0	980.0
43.0	991.0
44.0	929.0
45.0	864.0
46.0	850.0
47.0	805.0
48.0	724.0
49.0	673.0
50.0	651.0
51.0	590.0
52.0	433.0
53.0	477.0
54.0	372.0
55.0	292.0
56.0	248.0
57.0	265.0
58.0	175.0
59.0	227.0
60.0	216.0
61.0	160.0
62.0	134.0
63.0	122.0
64.0	80.0
65.0	79.0
66.0	52.0
67.0	26.0
68.0	21.0
69.0	22.0
70.0	19.0
71.0	24.0
72.0	21.0
73.0	17.0
74.0	17.0
75.0	20.0
76.0	19.0
77.0	16.0
78.0	17.0
79.0	18.0
80.0	16.0
81.0	24.0
82.0	45.0
83.0	23.0
84.0	31.0
85.0	23.0
86.0	26.0
87.0	15.0
88.0	25.0
89.0	26.0
90.0	21.0
91.0	30.0
92.0	21.0
93.0	24.0
94.0	22.0
95.0	17.0
96.0	18.0
97.0	22.0
98.0	16.0
99.0	14.0
100.0	5.0
101.0	7.0
102.0	5.0
103.0	9.0
104.0	17.0
105.0	15.0
106.0	10.0
107.0	6.0
108.0	15.0
109.0	7.0
110.0	5.0
111.0	2.0
112.0	5.0
113.0	6.0
114.0	4.0
115.0	3.0
116.0	3.0
117.0	2.0
118.0	3.0
119.0	4.0
120.0	4.0
121.0	2.0
122.0	2.0
123.0	2.0
124.0	1.0
125.0	9.0
126.0	5.0
127.0	8.0
128.0	8.0
129.0	10.0
130.0	5.0
131.0	2.0
132.0	6.0
133.0	4.0
134.0	2.0
135.0	4.0
136.0	2.0
137.0	9.0
138.0	3.0
139.0	14.0
140.0	8.0
141.0	4.0
142.0	11.0
143.0	8.0
144.0	3.0
145.0	2.0
146.0	8.0
147.0	4.0
148.0	12.0
149.0	7.0
150.0	4.0
151.0	3.0
152.0	2.0
153.0	4.0
155.0	1.0
156.0	1.0
157.0	2.0
158.0	4.0
159.0	3.0
160.0	1.0
161.0	3.0
162.0	2.0
163.0	3.0
165.0	3.0
166.0	13.0
167.0	3.0
168.0	18.0
170.0	2.0
174.0	1.0
175.0	2.0
184.0	2.0
190.0	1.0
193.0	4.0
197.0	2.0
200.0	2.0
202.0	1.0
205.0	2.0
207.0	3.0
208.0	1.0
214.0	1.0
215.0	1.0
223.0	1.0
227.0	1.0
237.0	1.0
267.0	1.0
276.0	1.0
288.0	1.0
299.0	1.0
311.0	1.0
333.0	1.0
348.0	1.0
363.0	1.0
367.0	1.0
376.0	1.0
383.0	1.0
395.0	1.0
396.0	1.0
399.0	1.0
402.0	1.0
418.0	1.0
421.0	1.0
426.0	1.0
442.0	1.0
446.0	1.0
453.0	1.0
459.0	1.0
464.0	1.0
474.0	1.0
476.0	1.0
481.0	2.0
486.0	1.0
487.0	1.0
494.0	2.0
498.0	1.0
505.0	1.0
507.0	1.0
517.0	2.0
521.0	1.0
523.0	1.0
525.0	2.0
529.0	1.0
530.0	1.0
533.0	2.0
534.0	2.0
537.0	2.0
538.0	3.0
539.0	3.0
540.0	1.0
541.0	1.0
542.0	2.0
543.0	2.0
544.0	1.0
545.0	1.0
549.0	2.0
558.0	1.0
563.0	1.0
568.0	1.0
571.0	1.0
575.0	1.0
577.0	1.0
578.0	1.0
581.0	1.0
584.0	1.0
586.0	1.0
587.0	2.0
589.0	3.0
592.0	1.0
594.0	1.0
595.0	1.0
596.0	1.0
598.0	1.0
600.0	1.0
602.0	1.0
603.0	2.0
605.0	2.0
609.0	1.0
610.0	4.0
611.0	3.0
613.0	1.0
