#GC Content (%)	Sample	HUMAN (hg38)
1.0	0.0	0.0
2.0	0.0	1.0E-6
3.0	0.0	4.0E-6
4.0	0.0	8.0E-6
5.0	0.0	9.0E-6
6.0	0.0	1.1000000000000001E-5
7.0	0.0	9.999999999999999E-6
8.0	0.0	8.999999999999999E-6
9.0	0.0	1.5E-5
10.0	0.0	1.4E-5
11.0	0.0	1.9E-5
12.0	0.0	1.8E-5
13.0	0.0	2.2E-5
14.0	0.0	2.7E-5
15.0	0.0	2.4E-5
16.0	0.0	2.9E-5
17.0	0.0	3.1E-5
18.0	0.0	2.9E-5
19.0	0.0	5.2E-5
20.0	0.0	5.2000000000000004E-5
21.0	0.0	7.9E-5
22.0	0.0	8.9E-5
23.0	2.4764735017335313E-4	1.49E-4
24.0	0.0	3.14E-4
25.0	0.0	7.250000000000001E-4
26.0	0.0	0.0016470000000000002
27.0	9.905894006934125E-4	0.0033309999999999993
28.0	0.002228826151560178	0.0060810000000000005
29.0	0.0012382367508667657	0.010195
30.0	0.004210004952947003	0.015575000000000002
31.0	0.005448241703813769	0.021823000000000002
32.0	0.009162951956414065	0.028458
33.0	0.014363546310054483	0.034777999999999996
34.0	0.027241208519068843	0.04072200000000001
35.0	0.04061416542842992	0.046733
36.0	0.047795938583457154	0.052521
37.0	0.0713224368499257	0.058068999999999996
38.0	0.07825656265477957	0.062401
39.0	0.08816245666171373	0.066379
40.0	0.0765230312035661	0.062808
41.0	0.07602773650321942	0.055982000000000004
42.0	0.06686478454680533	0.051072
43.0	0.06686478454680535	0.047385000000000004
44.0	0.0549777117384844	0.043885999999999994
45.0	0.04853888063397721	0.040056
46.0	0.046557701832590385	0.036389
47.0	0.033680039623576026	0.031823000000000004
48.0	0.03368003962357603	0.027807000000000002
49.0	0.025755324418028726	0.024214
50.0	0.02228826151560178	0.020522000000000002
51.0	0.015354135710747896	0.017317
52.0	0.009658246656760771	0.014202
53.0	0.0047052996532937095	0.011892
54.0	0.005448241703813769	0.009919
55.0	0.005200594353640416	0.008364
56.0	0.003714710252600297	0.007255999999999999
57.0	0.0027241208519068845	0.006077
58.0	0.0029717682020802376	0.0052759999999999994
59.0	9.905894006934125E-4	0.004577
60.0	0.0012382367508667657	0.003935
61.0	9.905894006934125E-4	0.0033960000000000006
62.0	4.952947003467063E-4	0.002891
63.0	0.0012382367508667657	0.002476
64.0	9.905894006934125E-4	0.0020139999999999997
65.0	2.4764735017335313E-4	0.0016830000000000003
66.0	2.4764735017335313E-4	0.0013750000000000001
67.0	0.0	0.001061
68.0	2.4764735017335313E-4	8.219999999999999E-4
69.0	2.4764735017335313E-4	6.300000000000001E-4
70.0	2.4764735017335313E-4	5.039999999999999E-4
71.0	0.0	4.1E-4
72.0	0.0	3.3099999999999997E-4
73.0	0.0	2.5900000000000006E-4
74.0	0.0	2.26E-4
75.0	0.0	1.9000000000000004E-4
76.0	0.0	1.53E-4
77.0	0.0	1.18E-4
78.0	0.0	8.5E-5
79.0	0.0	4.800000000000001E-5
80.0	0.0	3.9000000000000006E-5
81.0	0.0	3.3E-5
82.0	0.0	2.1000000000000002E-5
83.0	0.0	6.999999999999999E-6
84.0	0.0	4.9999999999999996E-6
85.0	0.0	0.0
86.0	0.0	0.0
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	0.0	0.0
