#Duplication rate	Coverage
1.0	113689.0
2.0	16264.0
3.0	5655.0
4.0	2983.0
5.0	1915.0
6.0	1391.0
7.0	1042.0
8.0	990.0
9.0	989.0
10.0	1072.0
11.0	1057.0
12.0	1238.0
13.0	1251.0
14.0	1281.0
15.0	1252.0
16.0	1252.0
17.0	1263.0
18.0	1152.0
19.0	1018.0
20.0	957.0
21.0	763.0
22.0	696.0
23.0	600.0
24.0	547.0
25.0	415.0
26.0	303.0
27.0	254.0
28.0	209.0
29.0	153.0
30.0	115.0
31.0	79.0
32.0	65.0
33.0	51.0
34.0	57.0
35.0	40.0
36.0	26.0
37.0	31.0
38.0	25.0
39.0	13.0
40.0	22.0
41.0	16.0
42.0	16.0
43.0	16.0
44.0	14.0
45.0	9.0
46.0	16.0
47.0	8.0
48.0	8.0
49.0	7.0
50.0	330.0
