#Insert size (bp)	insert size
2.0	18.0
3.0	500.0
4.0	132.0
5.0	182.0
6.0	168.0
7.0	156.0
8.0	172.0
9.0	139.0
10.0	120.0
11.0	134.0
12.0	129.0
13.0	209.0
14.0	153.0
15.0	122.0
16.0	97.0
17.0	131.0
18.0	229.0
19.0	116.0
20.0	104.0
21.0	106.0
22.0	101.0
23.0	110.0
24.0	116.0
25.0	107.0
26.0	83.0
27.0	91.0
28.0	93.0
29.0	75.0
30.0	80.0
31.0	86.0
32.0	81.0
33.0	86.0
34.0	75.0
35.0	85.0
36.0	77.0
37.0	63.0
38.0	71.0
39.0	96.0
40.0	71.0
41.0	79.0
42.0	73.0
43.0	80.0
44.0	65.0
45.0	74.0
46.0	63.0
47.0	59.0
48.0	56.0
49.0	63.0
50.0	44.0
51.0	46.0
52.0	63.0
53.0	54.0
54.0	77.0
55.0	41.0
56.0	62.0
57.0	56.0
58.0	67.0
59.0	67.0
60.0	58.0
61.0	55.0
62.0	44.0
63.0	51.0
64.0	67.0
65.0	36.0
66.0	52.0
67.0	53.0
68.0	48.0
69.0	55.0
70.0	65.0
71.0	41.0
72.0	58.0
73.0	43.0
74.0	45.0
75.0	52.0
76.0	48.0
77.0	38.0
78.0	47.0
79.0	50.0
80.0	43.0
81.0	39.0
82.0	52.0
83.0	51.0
84.0	40.0
85.0	46.0
86.0	57.0
87.0	66.0
88.0	49.0
89.0	64.0
90.0	66.0
91.0	54.0
92.0	40.0
93.0	37.0
94.0	48.0
95.0	38.0
96.0	36.0
97.0	53.0
98.0	30.0
99.0	44.0
100.0	48.0
101.0	43.0
102.0	32.0
103.0	35.0
104.0	42.0
105.0	34.0
106.0	25.0
107.0	35.0
108.0	49.0
109.0	46.0
110.0	35.0
111.0	36.0
112.0	21.0
113.0	31.0
114.0	28.0
115.0	28.0
116.0	23.0
117.0	16.0
118.0	21.0
119.0	25.0
120.0	23.0
121.0	20.0
122.0	23.0
123.0	25.0
124.0	27.0
125.0	21.0
126.0	16.0
127.0	11.0
128.0	18.0
129.0	26.0
130.0	14.0
131.0	14.0
132.0	24.0
133.0	18.0
134.0	20.0
135.0	18.0
136.0	21.0
137.0	27.0
138.0	17.0
139.0	24.0
140.0	31.0
141.0	23.0
142.0	18.0
143.0	15.0
144.0	18.0
145.0	24.0
146.0	12.0
147.0	20.0
148.0	18.0
149.0	21.0
150.0	17.0
151.0	12.0
152.0	15.0
153.0	21.0
154.0	18.0
155.0	16.0
156.0	23.0
157.0	20.0
158.0	18.0
159.0	20.0
160.0	21.0
161.0	19.0
162.0	19.0
163.0	22.0
164.0	27.0
165.0	26.0
166.0	16.0
167.0	9.0
168.0	29.0
169.0	18.0
170.0	23.0
171.0	20.0
172.0	17.0
173.0	14.0
174.0	15.0
175.0	26.0
176.0	17.0
177.0	26.0
178.0	19.0
179.0	18.0
180.0	24.0
181.0	22.0
182.0	21.0
183.0	16.0
184.0	17.0
185.0	17.0
186.0	24.0
187.0	23.0
188.0	12.0
189.0	33.0
190.0	19.0
191.0	24.0
192.0	30.0
193.0	20.0
194.0	22.0
195.0	19.0
196.0	24.0
197.0	17.0
198.0	15.0
199.0	16.0
200.0	26.0
201.0	22.0
202.0	23.0
203.0	21.0
204.0	24.0
205.0	25.0
206.0	20.0
207.0	22.0
208.0	19.0
209.0	20.0
210.0	16.0
211.0	21.0
212.0	20.0
213.0	30.0
214.0	30.0
215.0	31.0
216.0	27.0
217.0	25.0
218.0	23.0
219.0	16.0
220.0	16.0
221.0	20.0
222.0	24.0
223.0	28.0
224.0	28.0
225.0	21.0
226.0	22.0
227.0	24.0
228.0	26.0
229.0	35.0
230.0	41.0
231.0	25.0
232.0	34.0
233.0	29.0
234.0	30.0
235.0	27.0
236.0	31.0
237.0	35.0
238.0	36.0
239.0	48.0
240.0	47.0
241.0	55.0
242.0	48.0
243.0	56.0
244.0	44.0
245.0	47.0
246.0	55.0
247.0	57.0
248.0	61.0
249.0	49.0
250.0	53.0
251.0	61.0
252.0	73.0
253.0	57.0
254.0	61.0
255.0	47.0
256.0	73.0
257.0	70.0
258.0	62.0
259.0	68.0
260.0	79.0
261.0	74.0
262.0	84.0
263.0	97.0
264.0	108.0
265.0	90.0
266.0	103.0
267.0	88.0
268.0	102.0
269.0	94.0
270.0	96.0
271.0	119.0
272.0	109.0
273.0	131.0
274.0	102.0
275.0	136.0
276.0	128.0
277.0	134.0
278.0	137.0
279.0	139.0
280.0	128.0
281.0	142.0
282.0	126.0
283.0	146.0
284.0	157.0
285.0	163.0
286.0	172.0
287.0	170.0
288.0	208.0
289.0	170.0
290.0	190.0
291.0	168.0
292.0	172.0
293.0	186.0
294.0	191.0
295.0	222.0
296.0	177.0
297.0	183.0
298.0	222.0
299.0	224.0
300.0	226.0
301.0	232.0
302.0	254.0
303.0	216.0
304.0	264.0
305.0	289.0
306.0	323.0
307.0	294.0
308.0	293.0
309.0	351.0
310.0	312.0
311.0	316.0
312.0	358.0
313.0	423.0
314.0	376.0
315.0	422.0
316.0	397.0
317.0	418.0
318.0	436.0
319.0	470.0
320.0	552.0
321.0	519.0
322.0	559.0
323.0	549.0
324.0	566.0
325.0	613.0
326.0	655.0
327.0	642.0
328.0	667.0
329.0	726.0
330.0	703.0
331.0	747.0
332.0	789.0
333.0	780.0
334.0	857.0
335.0	912.0
336.0	890.0
337.0	908.0
338.0	956.0
339.0	1077.0
340.0	1005.0
341.0	1059.0
342.0	1070.0
343.0	1106.0
344.0	1115.0
345.0	1109.0
346.0	1135.0
347.0	1197.0
348.0	1167.0
349.0	1391.0
350.0	1208.0
351.0	1286.0
352.0	1358.0
353.0	1325.0
354.0	1344.0
355.0	1381.0
356.0	1388.0
357.0	1456.0
358.0	1488.0
359.0	1396.0
360.0	1496.0
361.0	1562.0
362.0	1614.0
363.0	1752.0
364.0	1582.0
365.0	1611.0
366.0	1763.0
367.0	1645.0
368.0	1766.0
369.0	1734.0
370.0	1769.0
371.0	1745.0
372.0	1847.0
373.0	2044.0
374.0	1917.0
375.0	1945.0
376.0	1928.0
377.0	1889.0
378.0	1986.0
379.0	2107.0
380.0	2107.0
381.0	2177.0
382.0	2293.0
383.0	2273.0
384.0	2442.0
385.0	2342.0
386.0	2618.0
387.0	2663.0
388.0	2728.0
389.0	2769.0
390.0	2861.0
391.0	2936.0
392.0	2946.0
393.0	3057.0
394.0	3067.0
395.0	3230.0
396.0	3242.0
397.0	3369.0
398.0	3252.0
399.0	3345.0
400.0	3413.0
401.0	3316.0
402.0	3291.0
403.0	3314.0
404.0	3328.0
405.0	3211.0
406.0	3035.0
407.0	2904.0
408.0	2955.0
409.0	2730.0
410.0	2604.0
411.0	2432.0
412.0	2411.0
413.0	2203.0
414.0	2044.0
415.0	1943.0
416.0	1759.0
417.0	1630.0
418.0	1418.0
419.0	1359.0
420.0	1126.0
421.0	1026.0
422.0	895.0
423.0	846.0
424.0	709.0
425.0	598.0
426.0	502.0
427.0	514.0
428.0	455.0
429.0	352.0
430.0	344.0
431.0	334.0
432.0	305.0
433.0	243.0
434.0	243.0
435.0	255.0
436.0	217.0
437.0	210.0
438.0	190.0
439.0	160.0
440.0	182.0
441.0	151.0
442.0	146.0
443.0	141.0
444.0	157.0
445.0	129.0
446.0	143.0
447.0	161.0
448.0	127.0
449.0	155.0
450.0	105.0
451.0	134.0
452.0	119.0
453.0	137.0
454.0	132.0
455.0	140.0
456.0	132.0
457.0	138.0
458.0	108.0
459.0	144.0
460.0	106.0
461.0	104.0
462.0	114.0
463.0	86.0
464.0	103.0
465.0	100.0
466.0	89.0
467.0	99.0
468.0	105.0
469.0	111.0
470.0	116.0
471.0	72.0
472.0	91.0
473.0	103.0
474.0	101.0
475.0	96.0
476.0	104.0
477.0	90.0
478.0	82.0
479.0	94.0
480.0	80.0
481.0	97.0
482.0	66.0
483.0	85.0
484.0	76.0
485.0	64.0
486.0	59.0
487.0	66.0
488.0	74.0
489.0	59.0
490.0	56.0
491.0	46.0
492.0	54.0
493.0	57.0
494.0	42.0
495.0	49.0
496.0	47.0
497.0	51.0
498.0	45.0
499.0	57.0
500.0	37.0
501.0	53.0
502.0	37.0
503.0	46.0
504.0	33.0
505.0	52.0
506.0	50.0
507.0	46.0
508.0	44.0
509.0	41.0
510.0	36.0
511.0	42.0
512.0	39.0
513.0	48.0
514.0	35.0
515.0	35.0
516.0	37.0
517.0	45.0
518.0	39.0
519.0	33.0
520.0	35.0
521.0	26.0
522.0	30.0
523.0	29.0
524.0	37.0
525.0	31.0
526.0	37.0
527.0	28.0
528.0	40.0
529.0	31.0
530.0	19.0
531.0	30.0
532.0	35.0
533.0	27.0
534.0	26.0
535.0	21.0
536.0	26.0
537.0	28.0
538.0	25.0
539.0	25.0
540.0	39.0
541.0	24.0
542.0	34.0
543.0	21.0
544.0	36.0
545.0	22.0
546.0	18.0
547.0	21.0
548.0	14.0
549.0	26.0
550.0	25.0
551.0	24.0
552.0	17.0
553.0	16.0
554.0	24.0
555.0	19.0
556.0	24.0
557.0	22.0
558.0	21.0
559.0	20.0
560.0	20.0
561.0	38.0
562.0	48.0
563.0	8.0
564.0	21.0
565.0	18.0
566.0	21.0
567.0	11.0
568.0	11.0
569.0	21.0
570.0	17.0
571.0	15.0
572.0	16.0
573.0	11.0
574.0	13.0
575.0	13.0
576.0	20.0
577.0	14.0
578.0	9.0
579.0	9.0
580.0	11.0
581.0	15.0
582.0	21.0
583.0	11.0
584.0	12.0
585.0	7.0
586.0	13.0
587.0	8.0
588.0	8.0
589.0	15.0
590.0	10.0
591.0	18.0
592.0	13.0
593.0	16.0
594.0	16.0
595.0	9.0
596.0	12.0
597.0	19.0
598.0	11.0
599.0	11.0
600.0	11.0
601.0	3.0
602.0	5.0
603.0	10.0
604.0	8.0
605.0	6.0
606.0	9.0
607.0	15.0
608.0	7.0
609.0	9.0
610.0	4.0
611.0	6.0
612.0	7.0
613.0	10.0
614.0	10.0
615.0	14.0
616.0	9.0
617.0	10.0
618.0	10.0
619.0	11.0
620.0	7.0
621.0	7.0
622.0	9.0
623.0	14.0
624.0	3.0
625.0	10.0
626.0	8.0
627.0	8.0
628.0	6.0
629.0	7.0
630.0	12.0
631.0	9.0
632.0	3.0
633.0	5.0
634.0	8.0
635.0	4.0
636.0	12.0
637.0	9.0
638.0	3.0
639.0	8.0
640.0	8.0
641.0	7.0
642.0	5.0
643.0	5.0
644.0	6.0
645.0	5.0
646.0	3.0
647.0	6.0
648.0	3.0
649.0	6.0
650.0	3.0
651.0	3.0
652.0	1.0
653.0	3.0
654.0	1.0
655.0	1.0
656.0	3.0
657.0	3.0
659.0	1.0
660.0	5.0
661.0	6.0
662.0	5.0
663.0	4.0
664.0	6.0
665.0	3.0
666.0	6.0
667.0	1.0
668.0	5.0
669.0	4.0
670.0	2.0
