#Position (bp)	mapping quality
3869317.5	0.0
1.16079515E7	0.0
1.93465855E7	0.0
2.70852195E7	0.0
3.48238535E7	0.0
4.25624875E7	0.0
5.03011215E7	0.0
5.80397555E7	0.0
6.57783895E7	0.0
7.35170235E7	0.0
8.12556575E7	0.0
8.89942915E7	0.0
9.67329255E7	0.0
1.044715595E8	0.0
1.122101935E8	0.0
1.199488275E8	0.0
1.276874615E8	0.0
1.354260955E8	0.0
1.431647295E8	0.0
1.509033635E8	0.0
1.586419975E8	0.0
1.663806315E8	0.0
1.741192655E8	0.0
1.818578995E8	0.0
1.895965335E8	0.0
1.973351675E8	0.0
2.050738015E8	0.0
2.128124355E8	0.0
2.205510695E8	0.0
2.282897035E8	0.0
2.360283375E8	0.0
2.437669715E8	0.0
2.482963555E8	0.0
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	0.0
2.49528459E8	0.0
2.49636853E8	0.0
2.49678084E8	0.0
2.525369325E8	0.0
2.592442395E8	0.0
2.669828735E8	0.0
2.747215075E8	0.0
2.824601415E8	0.0
2.901987755E8	0.0
2.979374095E8	0.0
3.056760435E8	0.0
3.134146775E8	0.0
3.211533115E8	0.0
3.288919455E8	0.0
3.366305795E8	0.0
3.443692135E8	0.0
3.521078475E8	0.0
3.598464815E8	0.0
3.675851155E8	0.0
3.753237495E8	0.0
3.830623835E8	0.0
3.908010175E8	0.0
3.985396515E8	0.0
4.062782855E8	0.0
4.140169195E8	0.0
4.217555535E8	0.0
4.294941875E8	0.0
4.372328215E8	0.0
4.449714555E8	0.0
4.527100895E8	0.0
4.604487235E8	0.0
4.681873575E8	0.0
4.759259915E8	0.0
4.836646255E8	0.0
4.89713207E8	0.0
4.91973207E8	0.0
4.92130842E8	0.0
4.93740159E8	0.0
4.991418935E8	0.0
5.068805275E8	0.0
5.146191615E8	0.0
5.223577955E8	0.0
5.300964295E8	0.0
5.378350635E8	0.0
5.455736975E8	0.0
5.533123315E8	0.0
5.610509655E8	0.0
5.687895995E8	0.0
5.765282335E8	0.0
5.842668675E8	0.0
5.920055015E8	0.0
5.997441355E8	0.0
6.074827695E8	0.0
6.152214035E8	0.0
6.229600375E8	0.0
6.306986715E8	0.0
6.384373055E8	0.0
6.461759395E8	0.0
6.539145735E8	0.0
6.616532075E8	0.0
6.693918415E8	0.0
6.771304755E8	0.0
6.848691095E8	0.0
6.896208635E8	0.0
6.90580999E8	0.0
6.93567879E8	0.0
7.003463775E8	0.0
7.080850115E8	0.0
7.158236455E8	0.0
7.235622795E8	0.0
7.313009135E8	0.0
7.390395475E8	0.0
7.467781815E8	0.0
7.545168155E8	0.0
7.622554495E8	0.0
7.699940835E8	0.0
7.777327175E8	0.0
7.854713515E8	0.0
7.932099855E8	0.0
8.009486195E8	0.0
8.086872535E8	0.0
8.164258875E8	0.0
8.241645215E8	0.0
8.319031555E8	0.0
8.396417895E8	0.0
8.473804235E8	0.0
8.551190575E8	0.0
8.628576915E8	0.0
8.705963255E8	0.0
8.776694475E8	0.0
8.80978107E8	0.0
8.81643619E8	0.0
8.860735935E8	0.0
8.938122275E8	0.0
9.015508615E8	0.0
9.092894955E8	0.0
9.170281295E8	0.0
9.247667635E8	0.0
9.325053975E8	0.0
9.402440315E8	0.0
9.479826655E8	0.0
9.557212995E8	0.0
9.634599335E8	0.0
9.711985675E8	0.0
9.789372015E8	0.0
9.866758355E8	0.0
9.944144695E8	0.0
1.0021531035E9	0.0
1.0098917375E9	0.0
1.0176303715E9	0.0
1.0253690055E9	0.0
1.0331076395E9	0.0
1.0408462735E9	0.0
1.0485849075E9	0.0
1.0563235415E9	0.0
1.0614070395E9	0.0
1.062667565E9	0.0
1.065322701E9	0.0
1.0718008095E9	0.0
1.0795394435E9	0.0
1.0872780775E9	0.0
1.0950167115E9	0.0
1.1027553455E9	0.0
1.1104939795E9	0.0
1.1182326135E9	0.0
1.1259712475E9	0.0
1.1337098815E9	0.0
1.1414485155E9	0.0
1.1491871495E9	0.0
1.1569257835E9	0.0
1.1646644175E9	0.0
1.1724030515E9	0.0
1.1801416855E9	0.0
1.1878803195E9	0.0
1.1956189535E9	0.0
1.2033575875E9	0.0
1.2110962215E9	0.0
1.2188348555E9	0.0
1.2265734895E9	0.0
1.2319813475E9	0.0
1.2358506645E9	0.0
1.2420507575E9	0.0
1.2497893915E9	0.0
1.2575280255E9	0.0
1.2652666595E9	0.0
1.2730052935E9	0.0
1.2807439275E9	0.0
1.2884825615E9	0.0
1.2962211955E9	0.0
1.3039598295E9	0.0
1.3116984635E9	0.0
1.3194370975E9	0.0
1.3271757315E9	0.0
1.3349143655E9	0.0
1.3426529995E9	0.0
1.3503916335E9	0.0
1.3581302675E9	0.0
1.3658689015E9	0.0
1.3736075355E9	0.0
1.3813461695E9	0.0
1.389040674E9	0.0
1.392909991E9	0.0
1.3968234375E9	0.0
1.4045620715E9	0.0
1.4123007055E9	0.0
1.4200393395E9	0.0
1.4277779735E9	0.0
1.4355166075E9	0.0
1.4432552415E9	0.0
1.4509938755E9	0.0
1.4587325095E9	0.0
1.4664711435E9	0.0
1.4742097775E9	0.0
1.4819484115E9	0.0
1.4896870455E9	0.0
1.4974256795E9	0.0
1.5051643135E9	0.0
1.5129029475E9	0.0
1.5206415815E9	0.0
1.5283802155E9	0.0
1.535127015E9	0.0
1.538996332E9	0.0
1.5438574835E9	0.0
1.5515961175E9	0.0
1.5593347515E9	0.0
1.5670733855E9	0.0
1.5748120195E9	0.0
1.5825506535E9	0.0
1.5902892875E9	0.0
1.5980279215E9	0.0
1.6057665555E9	0.0
1.6135051895E9	0.0
1.6212438235E9	0.0
