#Mapping quality	mapping quality
0.0	3109066.0
1.0	38303.0
2.0	33772.0
3.0	43338.0
4.0	33298.0
5.0	29054.0
6.0	27090.0
7.0	26610.0
8.0	20030.0
9.0	33397.0
10.0	29476.0
11.0	17455.0
12.0	17111.0
13.0	28224.0
14.0	11944.0
15.0	21621.0
16.0	12083.0
17.0	10205.0
18.0	18712.0
19.0	9959.0
20.0	13861.0
21.0	18581.0
22.0	11417.0
23.0	10380.0
24.0	12178.0
25.0	12092.0
26.0	7160.0
27.0	58197.0
28.0	7483.0
29.0	6514.0
30.0	6944.0
31.0	6735.0
32.0	5505.0
33.0	9313.0
34.0	6004.0
35.0	5780.0
36.0	5983.0
37.0	5523.0
38.0	5537.0
39.0	6631.0
40.0	17456.0
41.0	4320.0
42.0	4828.0
43.0	3839.0
44.0	4110.0
45.0	4938.0
46.0	3185.0
47.0	3977.0
48.0	3456.0
49.0	3836.0
50.0	4177.0
51.0	3060.0
52.0	2761.0
53.0	2406.0
54.0	2579.0
55.0	2334.0
56.0	2113.0
57.0	3605.0
58.0	2869.0
59.0	7645.0
60.0	20144.0
